Name,Version,Build,Channel
ca-certificates,2020.12.5,h5b45459_0,conda-forge
certifi,2020.12.5,py37h03978a9_1,conda-forge
cffi,1.14.4,py37hd8e9650_1,conda-forge
chardet,3.0.4,pypi_0,pypi
cloudpickle,1.4.1,pypi_0,pypi
cudatoolkit,10.1.243,h3826478_6,conda-forge
cycler,0.10.0,py_2,conda-forge
dill,0.3.2,pyh9f0ad1d_0,conda-forge
facenet-pytorch,2.2.8,pypi_0,pypi
freetype,2.10.4,h546665d_1,conda-forge
icu,68.1,h0e60522_0,conda-forge
idna,2.9,pypi_0,pypi
intel-openmp,2020.3,h57928b3_311,conda-forge
jpeg,9d,h8ffe710_0,conda-forge
kiwisolver,1.3.1,py37h8c56517_1,conda-forge
libblas,3.8.0,15_mkl,conda-forge
libcblas,3.8.0,15_mkl,conda-forge
libclang,11.0.1,default_h5c34c98_1,conda-forge
liblapack,3.8.0,15_mkl,conda-forge
liblapacke,3.8.0,15_mkl,conda-forge
libopencv,4.2.0,py37_2,conda-forge
libpng,1.6.37,h1d00b33_2,conda-forge
libtiff,4.2.0,hc10be44_0,conda-forge
libwebp,1.0.2,hfa6e2cd_5,conda-forge
lz4-c,1.9.3,h8ffe710_0,conda-forge
matplotlib,3.2.1,0,conda-forge
matplotlib-base,3.2.1,py37h911224e_0,conda-forge
mkl,2020.0,166,
multiprocess,0.70.10,py37h4ab8f01_0,conda-forge
multiprocess-chunks,1.0.0,pypi_0,pypi
ninja,1.10.2,h5362a0b_0,conda-forge
numpy,1.19.5,py37hd20adf4_1,conda-forge
olefile,0.46,pyh9f0ad1d_1,conda-forge
opencv,4.2.0,py37_2,conda-forge
openssl,1.1.1k,h8ffe710_0,conda-forge
pandas,1.2.4,py37h90003fb_0,conda-forge
pathos,0.2.6,pypi_0,pypi
pillow,8.1.0,py37hdec93a9_1,conda-forge
pip,20.0.2,py_2,conda-forge
pox,0.2.8,pypi_0,pypi
ppft,1.6.6.2,pypi_0,pypi
psutil,5.7.0,py37h8055547_1,conda-forge
py-opencv,4.2.0,py37h5ca1d4c_2,conda-forge
pycparser,2.20,pyh9f0ad1d_2,conda-forge
pyparsing,2.4.7,pyh9f0ad1d_0,conda-forge
pyqt,5.12.3,py37h03978a9_7,conda-forge
pyqt-impl,5.12.3,py37hf2a7229_7,conda-forge
pyqt5-sip,4.19.18,py37hf2a7229_7,conda-forge
pyqtchart,5.12,py37hf2a7229_7,conda-forge
pyqtwebengine,5.12.1,py37hf2a7229_7,conda-forge
python,3.7.6,h5b45d93_4_cpython,conda-forge
python-dateutil,2.8.1,py_0,conda-forge
python_abi,3.7,1_cp37m,conda-forge
pytorch,1.4.0,py3.7_cuda101_cudnn7_0,pytorch
pytorch-cpu,1.1.0,py37ha925a31_0,conda-forge
pytz,2021.1,pyhd8ed1ab_0,conda-forge
qt,5.12.9,h5909a2a_3,conda-forge
requests,2.23.0,pypi_0,pypi
setuptools,49.6.0,py37h03978a9_3,conda-forge
six,1.15.0,pyh9f0ad1d_0,conda-forge
sqlite,3.34.0,h8ffe710_0,conda-forge
tk,8.6.10,h8ffe710_1,conda-forge
torchvision,0.5.0,py37_cu101,pytorch
tornado,6.1,py37hcc03f2d_1,conda-forge
urllib3,1.25.8,pypi_0,pypi
vc,14.2,hb210afc_2,conda-forge
vs2015_runtime,14.28.29325,h5e1d092_0,conda-forge
wheel,0.36.2,pyhd3deb0d_0,conda-forge
wincertstore,0.2,py37h03978a9_1006,conda-forge
xz,5.2.5,h62dcd97_1,conda-forge
zlib,1.2.11,h62dcd97_1010,conda-forge
zstd,1.4.8,h4e2f164_1,conda-forge
